이름,주차가능대수,위도,경도
중앙동 교보생명 옆 공영주차장,40,35.10747268,129.0378302
중앙동 객화차담 밑 공영주차장,68,35.10760288,129.0384476
국제회관 옆 공영주차장,23,35.09941501,129.0374717
반송1동 제2공영,154,35.22497776,129.1515028
반송1동 제1공영,304,35.22081459,129.146627
반송2동 공영,291,35.22964675,129.1518458
반여2동 제1공영,266,35.19571685,129.1273916
반여2동 제2공영,234,35.19424621,129.1323064
반여3동 제2공영,130,35.20277331,129.1319716
5994주차장,3,35.19930983,129.1319426
기린주차장,20,35.18596635,129.2027746
송정주차장,9,35.18158412,129.2011417
주차장,10,35.16853451,129.197041
GS타임즈 해운대 제3,6,35.1616903,129.1601316
현대주차장,18,35.16227693,129.1593745
해운대로주차장,19,35.16210861,129.1568857
부산동부지사주차장,10,35.15873,129.153765
신일주차장,24,35.1600479,129.1582402
해운대교육지원청주변공영,34,35.17688155,129.1759429
해월정 달맞이길 공영,52,35.15768031,129.1825416
